Loan Amount,Funded Amount,Loan Term,Interest Rate,Loan Grade,Loan SubGrade,Employee Title,Employemen Length,Annual Income,Verification Status,Loan Issued Date,Loan Status,Loan Purpose,Title,Address State,Month since last Delinquency,Outstanding Principal,Total Payment,Total Recvd Principal,Total Recvd Interest,Total Recvd Late fees
2500,2500, 60 months,15.27%,C,C4,Ryder,< 1 year,30000,Source Verified,11-Dec,Charged Off,car,bike,GA,,0,1014.53,456.46,435.17,0
5600,5600, 60 months,21.28%,F,F2,,4 years,40000,Source Verified,11-Dec,Charged Off,small_business,Expand Business & Buy Debt Portfolio,CA,,0,647.5,162.02,294.94,0
5375,5375, 60 months,12.69%,B,B5,Starbucks,< 1 year,15000,Verified,11-Dec,Charged Off,other,Building my credit history.,TX,,0,1484.59,673.48,533.42,0
9000,9000, 36 months,13.49%,C,C1,Va. Dept of Conservation/Recreation,< 1 year,30000,Source Verified,11-Dec,Charged Off,debt_consolidation,freedom,VA,,0,2277.32,1256.14,570.26,0
10000,10000, 36 months,10.65%,B,B2,SFMTA,3 years,100000,Source Verified,11-Dec,Charged Off,other,Other Loan,CA,,0,7471.99,5433.47,1393.42,0
21000,21000, 36 months,12.42%,B,B4,Osram Sylvania,10+ years,105000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Cleanup,FL,,0,14034.6,10694.96,3330.44,0
6000,6000, 36 months,11.71%,B,B3,bmg-educational,1 year,76000,Not Verified,11-Dec,Charged Off,major_purchase,cash,CA,,0,2055.85,1305.58,475.25,0
15000,15000, 36 months,14.27%,C,C2,nyc transit,9 years,60000,Not Verified,11-Dec,Charged Off,debt_consolidation,consolidation,NY,,0,0,0,0,0
5000,5000, 60 months,16.77%,D,D2,Frito Lay,2 years,50004,Not Verified,11-Dec,Charged Off,other,Other,PA,20,0,1611.16,629.05,719.11,0
5000,5000, 36 months,8.90%,A,A5,STERIS Corporation,10+ years,100000,Source Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation for a better life,OH,,0,5028.87,4217.38,696.99,0
15000,15000, 36 months,9.91%,B,B1,Caterpillar Inc.,8 years,80000,Not Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,IL,,0,16177.77,13556.45,2374.34,24.17
12000,12000, 36 months,15.96%,C,C5,Chemat Technology Inc,4 years,50000,Not Verified,11-Dec,Charged Off,car,Car Loan,CA,,0,3531.77,1903.66,1039.35,0
21000,21000, 60 months,19.91%,E,E4,Costco,7 years,50000,Verified,11-Dec,Charged Off,debt_consolidation, Bill pay of,WA,,0,18325.89,8990.81,9328.33,0
10000,10000, 60 months,10.65%,B,B2,CEC ENTERTAINMENT INC,10+ years,45996,Verified,11-Dec,Charged Off,debt_consolidation,Consolidation,OH,,0,8772.91,5495.38,2429.23,1
12500,8925, 60 months,17.27%,D,D3,grandma kitchen,5 years,30000,Source Verified,11-Dec,Charged Off,debt_consolidation,allen,MN,,0,5577.75,2812.82,2742.43,0
8200,8200, 60 months,21.28%,F,F2,autozone,4 years,75000,Source Verified,11-Dec,Charged Off,small_business,Small_Business Loan,CA,,0,4177.11,1525.83,2265.85,0
6400,6400, 36 months,16.77%,D,D2,"Riverside County, California",5 years,75000,Not Verified,11-Dec,Charged Off,debt_consolidation,Help,CA,48,0,4776.45,3334.25,1431.91,0
17500,17500, 60 months,17.27%,D,D3,Travelers Insurance,7 years,45000,Not Verified,11-Dec,Charged Off,credit_card,Debit Free,WA,,0,10037.7,3077.85,3473.25,0
6200,6200, 36 months,9.91%,B,B1,Sunrise Senior Living,2 years,25000,Not Verified,11-Dec,Charged Off,debt_consolidation,Wells/Chase ReFi,CA,,0,2456.33,1700.79,493.16,0
18825,18825, 60 months,16.77%,D,D2,Texas Health & Human Services Commission,10+ years,38000,Verified,11-Dec,Charged Off,debt_consolidation,Coledon's Club Loan,TX,,0,18749.25,8087.75,6786.71,0
10000,10000, 36 months,18.25%,D,D5,Gucci Group/ Yves Saint Laurent,1 year,75000,Source Verified,11-Dec,Charged Off,credit_card,Credit Card,CA,77,0,11730.6,8320.22,3145.08,36.24699818
25000,25000, 60 months,13.49%,C,C1,Midnight,10+ years,67000,Verified,11-Dec,Charged Off,credit_card,"Pay off credit card, refinance house",AK,28,0,23880.65,13833.2,8008.11,28.76
19750,19750, 36 months,10.65%,B,B2,"PACIFIC WOOD LAMINATES, INC.",4 years,45000,Verified,11-Dec,Charged Off,debt_consolidation,CONSOLIDATION,OR,56,0,11931.23,8590.58,2698.78,0
